user_id	friend_id
5069	2311227
5166362	2311227
48235017	2311227
5069	15434
6427571	15434
6798559	15434
8007321	15434
11211176	15434
1002697	2538364
7239403	2538364
1002697	3678813
1003134	2014225
2089801	2014225
2236765	2014225
2287915	2014225
2318327	2014225
2335038	2014225
2340138	2014225
2346667	2014225
2425641	2014225
2426236	2014225
2560176	2014225
2718884	2014225
3025923	2014225
3040832	2014225
3214206	2014225
3383072	2014225
3396181	2014225
3518735	2014225
3522596	2014225
3561899	2014225
3711443	2014225
3846576	2014225
3908359	2014225
4575581	2014225
4963858	2014225
4982094	2014225
5075255	2014225
5234241	2014225
5923588	2014225
6105899	2014225
6147994	2014225
6294182	2014225
6514438	2014225
6663476	2014225
6793492	2014225
7227267	2014225
7241232	2014225
7310757	2014225
7658366	2014225
8513863	2014225
8700186	2014225
8801241	2014225
9847886	2014225
9984087	2014225
10715420	2014225
11015726	2014225
11026055	2014225
11252407	2014225
12527648	2014225
12710926	2014225
13091520	2014225
14242275	2014225
15701390	2014225
17093390	2014225
18565451	2014225
20555235	2014225
21807433	2014225
27073784	2014225
27173751	2014225
28487724	2014225
28807720	2014225
31171794	2014225
32231870	2014225
32476234	2014225
32940322	2014225
36354763	2014225
1003134	3675770
5166362	3675770
5429118	3675770
1004584	4796775
2168304	4796775
31315069	4796775
35200721	4796775
42356754	4796775
46321248	4796775
1007547	2710520
1007547	3408799
6985275	3408799
31585978	3408799
37948081	3408799
1007547	4396183
40358874	4396183
1023672	4762168
29350047	4762168
1025350	3767208
6810061	3767208
1031170	5353538
3364510	5353538
3421628	5353538
1034770	3401306
1042762	3401306
3299567	3401306
3463705	3401306
5051038	3401306
20792708	3401306
36270186	3401306
1039355	3868441
1039579	4066261
2678377	4066261
3847892	4066261
1039579	3039225
1040923	3789789
6367988	3789789
1041209	3387625
1042860	3168446
1042903	4085032
1045130	5017010
1045130	4925078
1045824	2059080
1046659	2017104
1046678	3855730
6120521	3855730
1047533	2813792
1047729	2149968
8345204	2149968
1049522	4201501
2449526	4201501
1049656	2722846
2127325	2722846
2996782	2722846
3391909	2722846
6157737	2722846
1053214	2957754
2486568	2957754
5975468	2957754
45635981	2957754
1053592	2678082
1053592	3540222
2057811	3540222
3441732	3540222
1054663	2988500
1054941	5043233
1066011	5043233
4570878	5043233
5829816	5043233
5988535	5043233
6312441	5043233
8681737	5043233
14084714	5043233
34760873	5043233
37786705	5043233
1056506	4849249
1058814	5080666
1063094	2605179
3680293	2605179
5464534	2605179
1064160	3616893
2700624	3616893
11352199	3616893
12316650	3616893
1064252	3369245
5182651	3369245
35208159	3369245
1064696	4912319
1065278	5168110
5251337	5168110
9394121	5168110
1065697	3416060
2592845	3416060
2602076	3416060
5308827	3416060
13171969	3416060
34714085	3416060
1065697	2285020
46107345	2285020
1068399	4333439
11572222	4333439
35251782	4333439
1070155	2006017
4205532	2006017
4894297	2006017
5998762	2006017
6511558	2006017
8429137	2006017
9472213	2006017
13386918	2006017
17423962	2006017
1070291	3381464
1070693	5383071
5678061	5383071
9320280	5383071
9381011	5383071
1070696	4949169
2510688	4949169
47357392	4949169
47733408	4949169
1071628	4776378
5145475	4776378
40281206	4776378
45530658	4776378
1072283	1073957
1072954	2399573
7367875	2399573
1073613	3082039
1073613	2465479
1073624	2313341
1073957	1072283
15051424	1072283
1073993	3134976
3361965	3134976
1073993	4710662
1073993	2512183
2440593	2512183
4160691	2512183
2004595	2190662
4382164	2190662
2004595	4074209
2004785	5378268
2006017	1045707
2445615	1045707
2006017	1070155
2312264	1070155
2007044	2436468
6492387	2436468
46587112	2436468
2010648	5349528
3207133	5349528
3594568	5349528
3927713	5349528
6113416	5349528
6396642	5349528
8050239	5349528
8835861	5349528
9734250	5349528
10929831	5349528
12859127	5349528
13249086	5349528
17980045	5349528
20236259	5349528
21965428	5349528
25433907	5349528
26657107	5349528
27767883	5349528
28577644	5349528
28862381	5349528
31857851	5349528
38293864	5349528
38760195	5349528
40809196	5349528
47093948	5349528
49078197	5349528
49540602	5349528
2011049	3058490
35088271	3058490
2012408	3574998
2014258	1056595
6661114	1056595
2014660	5506753
15845366	5506753
17110115	5506753
2016788	2076073
4154850	2076073
2017046	3108408
2017104	1046659
2020795	3014396
2023857	3250026
2368518	3250026
5443242	3250026
6293272	3250026
7910695	3250026
10767290	3250026
17114725	3250026
29191406	3250026
2025911	1045130
2334342	1045130
4925078	1045130
5017010	1045130
6793492	1045130
13303965	1045130
42635082	1045130
2026899	2158373
3635271	2158373
2030280	2565627
2030480	4658867
6562462	4658867
2032776	3012451
2096360	3012451
2032776	2096360
2945101	2096360
3012451	2096360
2034316	2157945
10157384	2157945
2035866	4472273
49310020	4472273
2035866	2128910
2043453	2219753
2043453	2095754
2047831	3826678
2643401	3826678
5570800	3826678
10930175	3826678
14663776	3826678
16277041	3826678
2049551	4638772
2086068	4638772
2185048	4638772
3850434	4638772
12770421	4638772
26903034	4638772
2049551	2426252
2052851	3209835
7404071	3209835
2052993	2246396
3232668	2246396
5359641	2246396
21965428	2246396
23908125	2246396
33241120	2246396
39140793	2246396
45292336	2246396
47630991	2246396
2056364	2057125
2056895	3159932
2057047	5467386
3313213	5467386
5340472	5467386
7394717	5467386
12817740	5467386
13736863	5467386
2057125	2056364
2058161	5050053
13972800	5050053
2058161	3686998
2625440	3686998
2058501	5532155
2058805	5443242
3250026	5443242
4378676	5443242
2059080	1045824
2059080	4878130
2630583	4878130
6245226	4878130
8697446	4878130
11298680	4878130
12044740	4878130
18328403	4878130
2060645	4507385
10769817	4507385
14229678	4507385
2060645	5554903
2689939	5554903
2726310	5554903
3873307	5554903
6820364	5554903
7232076	5554903
